y x hat B.1 B.2 B.3 B.4 B.5 B.6 B.7 B.8 B.9 B.10
0 0 0.11845176567062 0.118451765670657 0 0 0 0 0 0 0 0 0
-0.00197795728863 0.002002002002002 0.107347732087024 0.11597919515011 -0.00869347381021266 6.22685409959128e-05 -2.57793852304954e-07 0 0 0 0 0 0
-0.00390785475531109 0.004004004004004 0.0965834395131516 0.113541274696402 -0.0172037758592393 0.000248003026836109 -2.06235081843963e-06 0 0 0 0 0 0
-0.00578977318163913 0.00600600600600601 0.086153980231756 0.111137759803014 -0.025532415889098 0.000555596751799276 -6.96043401223375e-06 0 0 0 0 0 0
-0.00762384182508516 0.00800800800800801 0.0760544465252364 0.108768405963424 -0.033680903641807 0.0009834430101641 -1.6498806547517e-05 0 0 0 0 0 0
-0.00941023837524446 0.01001001001001 0.066279930676368 0.106432968671114 -0.0416507488593845 0.00152993509620927 -3.22242315381192e-05 0 0 0 0 0 0
-0.011149188892589 0.012012012012012 0.056825524967875 0.104131203419564 -0.0494434612838487 0.00219346630421347 -5.568347209787e-05 0 0 0 0 0 0
-0.0128409677297395 0.014014014014014 0.0476863216823087 0.101862865702252 -0.0570605506572177 0.00297242992845538 -8.84232913405991e-05 0 0 0 0 0 0
-0.0144858974352787 0.016016016016016 0.0388574131019708 0.0996277110126591 -0.0645035267215099 0.00386521926321371 -0.000131990452380136 0 0 0 0 0 0
-0.0160843486401317 0.018018018018018 0.030333891509941 0.0974254948442654 -0.0717738992187432 0.00487022760276712 -0.000187931718330311 0 0 0 0 0 0
-0.0176367399265432 0.02002002002002 0.0221108491886987 0.0952559726905507 -0.078873177890936 0.00598584824139431 -0.000257793852304954 0 0 0 0 0 0
-0.0191435376796884 0.022022022022022 0.0141833784208394 0.093118900044995 -0.0858028724801064 0.00721047447337397 -0.000343123617417893 0 0 0 0 0 0
-0.0206052559219565 0.024024024024024 0.0065465714890023 0.0910140324010782 -0.0925644927282726 0.00854249959298478 -0.00044546777678296 0 0 0 0 0 0
-0.0220224561299515 0.026026026026026 -0.000804479324186088 0.0889411252522803 -0.0991595483774528 0.00998031689450543 -0.000566373093513983 0 0 0 0 0 0
-0.0233957470342601 0.028028028028028 -0.00787468173609894 0.0868999340920814 -0.105589549169665 0.0115223196722146 -0.000707386330724793 0 0 0 0 0 0
-0.0247257844020408 0.03003003003003 -0.0146689434641098 0.0848902144139612 -0.111856004846928 0.013166901220391 -0.000870054251529219 0 0 0 0 0 0
-0.0260132708024917 0.032032032032032 -0.021192172225592 0.0829117217113998 -0.117960425151259 0.0149124548333133 -0.00105592361904109 0 0 0 0 0 0
-0.0272589553552621 0.034034034034034 -0.0274492757379188 0.0809642114778771 -0.123904319824677 0.0167573738052601 -0.00126654119637424 0 0 0 0 0 0
-0.0284636334618737 0.036036036036036 -0.0334451617184636 0.0790474392068732 -0.1296891986092 0.0187000514305103 -0.00150345374664249 0 0 0 0 0 0
-0.0296281465202257 0.038038038038038 -0.0391847378845998 0.0771611603918679 -0.135316571246846 0.0207388810033424 -0.00176820803295968 0 0 0 0 0 0
-0.0307533816222599 0.04004004004004 -0.0446729119537008 0.0753051305263414 -0.140787947479633 0.0228722558180352 -0.00206235081843963 0 0 0 0 0 0
-0.0318402712348669 0.042042042042042 -0.0499145916431399 0.0734791051037734 -0.14610483704958 0.0250985691688672 -0.00238742886619618 0 0 0 0 0 0
-0.0328897928641214 0.044044044044044 -0.0549146846702906 0.0716828396176439 -0.151268749698704 0.0274162143501173 -0.00274498893934315 0 0 0 0 0 0
-0.0339029687029351 0.046046046046046 -0.059678098752526 0.0699160895614331 -0.156281195169025 0.0298235846560642 -0.00313657780099437 0 0 0 0 0 0
-0.0348808652622235 0.048048048048048 -0.0642097416072197 0.0681786104286208 -0.161143683202559 0.0323190733809864 -0.00356374221426368 0 0 0 0 0 0
-0.0358245929856867 0.05005005005005 -0.0685145209517447 0.0664701577126869 -0.165857723541325 0.0349010738191627 -0.0040280289422649 0 0 0 0 0 0
-0.0367353058483072 0.0520520520520521 -0.0725973445034749 0.0647904869071114 -0.170424825927342 0.0375679792648717 -0.00453098474811187 0 0 0 0 0 0
-0.0376142009386738 0.0540540540540541 -0.0764631199797835 0.0631393535053744 -0.174846500102628 0.0403181830123922 -0.00507415639491841 0 0 0 0 0 0
-0.0384625180252447 0.0560560560560561 -0.0801167550980436 0.0615165130009557 -0.1791242558092 0.0431500783560029 -0.00565909064579834 0 0 0 0 0 0
-0.0392815391066668 0.0580580580580581 -0.0835631575756288 0.0599217208873354 -0.183259602789077 0.0460620585899824 -0.00628733426386551 0 0 0 0 0 0
-0.0400725879462734 0.0600600600600601 -0.0868072351299125 0.0583547326579933 -0.187254050784278 0.0490525170086094 -0.00696043401223375 0 0 0 0 0 0
-0.0408370295908852 0.0620620620620621 -0.0898538954782677 0.0568153038064095 -0.191109109536819 0.0521198469061626 -0.00767993665401688 0 0 0 0 0 0
-0.0415762698740462 0.0640640640640641 -0.0927080463380681 0.0553031898260639 -0.194826288788721 0.0552624415769207 -0.00844738895232872 0 0 0 0 0 0
